Recall: 					also known as sensitivity, means TP/(TN+FN) or TP(Expected True)
ROC_AUC: 					A ROC curve is the True Positive Rate (TPR) against False Positive Rate (FPR).
AP: 						Average Precision (AP) is the Area under Precision-Recall Curve (AUC of PR-curve)
undersample/undersample:	learn from undersample and validate against undersample
undersample/complete: 		learn from undersample and validate against complete
complete/complete: 			learn from complete and validate against complete
under/complete: 			learn from complete and validate against complete

==========================================================================================================================================================================

raw							[complete/complete]	ROC_AUC:0.9952	PR_AUC:0.8530	[under/under]	ROC_AUC:0.9939	PR_AUC:0.9950	[under/complete]	ROC_AUC: 0.9952	PR_AUC:0.7331
## denoised_a10_c100_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.2349 PR_AUC:0.3571	[under/complete]	ROC_AUC:0.2767	PR_AUC:0.0018
## sparse_a10_c100_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.2349 PR_AUC:0.3571	[under/complete]	ROC_AUC:0.6927	PR_AUC:0.4486
## denoised_a100_c2_it100	[complete/complete]	ROC_AUC:0.6927	PR_AUC:0.4486	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## sparse_a100_c2_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.3531	PR_AUC:0.0033
## denoised_a100_c6_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.1648 PR_AUC:0.3374	[under/complete]	ROC_AUC:0.3536	PR_AUC:0.0033
## sparse_a100_c6_it100	[complete/complete]	ROC_AUC:0.6040	PR_AUC:0.0135	[under/under]	ROC_AUC:0.1648 PR_AUC:0.3374	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## denoised_a100_c10_it100	[complete/complete]	ROC_AUC:0.6621	PR_AUC:0.0056	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## sparse_a100_c10_it100	[complete/complete]	ROC_AUC:0.6927	PR_AUC:0.4486	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.6621	PR_AUC:0.0056
## denoised_a100_c20_it100	[complete/complete]	ROC_AUC:0.3379	PR_AUC:0.0020	[under/under]	ROC_AUC:0.7049 PR_AUC:0.7522	[under/complete]	ROC_AUC:0.4922	PR_AUC:0.0044
## sparse_a100_c20_it100	[complete/complete]	ROC_AUC:0.3073	PR_AUC:0.0017	[under/under]	ROC_AUC:0.7049 PR_AUC:0.7522	[under/complete]	ROC_AUC:0.6514	PR_AUC:0.0055
## denoised_a100_c40_it100	[complete/complete]	ROC_AUC:0.3073	PR_AUC:0.0017	[under/under]	ROC_AUC:0.8389 PR_AUC:0.8666	[under/complete]	ROC_AUC:0.6514	PR_AUC:0.0055
## sparse_a100_c40_it100	[complete/complete]	ROC_AUC:0.6174	PR_AUC:0.0140	[under/under]	ROC_AUC:0.8389 PR_AUC:0.8666	[under/complete]	ROC_AUC:0.3379	PR_AUC:0.0020
## denoised_a100_c100_it100	[complete/complete]	ROC_AUC:0.3379	PR_AUC:0.0020	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.3379	PR_AUC:0.0020
## sparse_a100_c100_it100	[complete/complete]	ROC_AUC:0.3391	PR_AUC:0.0561	[under/under]	ROC_AUC:0.8340 PR_AUC:0.8589	[under/complete]	ROC_AUC:0.3391	PR_AUC:0.0561
